item	map	area
Armor Sphere+	Tundra (High Rank)	5
Rustshard	Tundra (High Rank)	5
Bomberry	Tundra (High Rank)	6
Nulberry	Tundra (High Rank)	6
Huskberry	Tundra (High Rank)	6
Lightcrystal	Tundra (High Rank)	6
Bloodrun Jewel	Tundra (High Rank)	6
Isisium	Tundra (High Rank)	6
Gracium	Tundra (High Rank)	6
Sunspire Jewel	Tundra (High Rank)	6
Adv Armor Sphere	Tundra (High Rank)	6
Paintberry	Tundra (High Rank)	7
Adamant Seed	Tundra (High Rank)	7
Sleep Herb	Tundra (High Rank)	7
Nulberry	Tundra (High Rank)	7
Bone Husk S	Tundra (High Rank)	7
Bone	Tundra (High Rank)	7
Mystery Bone	Tundra (High Rank)	7
Unknown Skull	Tundra (High Rank)	7
Carbalite Ore	Tundra (High Rank)	7
Bloodstone	Tundra (High Rank)	7
Earth Crystal	Tundra (High Rank)	7
Mystery Charm	Tundra (High Rank)	7
Sunspire Jewel	Tundra (High Rank)	7
Auristone Piece	Tundra (High Rank)	7
Gracium	Tundra (High Rank)	7
Shining Charm	Tundra (High Rank)	7
Lightcrystal	Tundra (High Rank)	7
Auristone Chunk	Tundra (High Rank)	7
Iron Ore	Tundra (High Rank)	7
Armor Sphere	Tundra (High Rank)	7
Armor Sphere+	Tundra (High Rank)	7
Stone	Tundra (High Rank)	7
Rustshard	Tundra (High Rank)	7
Bitterbug	Tundra (High Rank)	8
Flashbug	Tundra (High Rank)	8
Thunderbug	Tundra (High Rank)	8
Hercudrome	Tundra (High Rank)	8
Killer Beetle	Tundra (High Rank)	8
Royal Rhino	Tundra (High Rank)	8
Insect Husk	Tundra (High Rank)	8
Godbug	Tundra (High Rank)	8
Rare Scarab	Tundra (High Rank)	8
King Scarab	Tundra (High Rank)	8
Divine Rhino	Tundra (High Rank)	8
Dragonbone Relic	Tundra (High Rank)	9
Bone Husk S	Tundra (High Rank)	9
Bone Husk L	Tundra (High Rank)	9
Golden Bone	Tundra (High Rank)	9
Mystery Bone	Tundra (High Rank)	9
Carbalite Ore	Tundra (High Rank)	9
Bloodstone	Tundra (High Rank)	9
Earth Crystal	Tundra (High Rank)	9
Mystery Charm	Tundra (High Rank)	9
Sunspire Jewel	Tundra (High Rank)	9
Auristone Piece	Tundra (High Rank)	9
Gracium	Tundra (High Rank)	9
Shining Charm	Tundra (High Rank)	9
Lightcrystal	Tundra (High Rank)	9
Auristone Chunk	Tundra (High Rank)	9
Rare Scarab	Tundra (High Rank)	9
Hercudrome	Tundra (High Rank)	9
Thunderbug	Tundra (High Rank)	9
Flashbug	Tundra (High Rank)	9
King Scarab	Tundra (High Rank)	9
Killer Beetle	Tundra (High Rank)	9
Godbug	Tundra (High Rank)	9
Insect Husk	Tundra (High Rank)	9
Sleepyfish	Tundra (G Rank)	0
Pin Tuna	Tundra (G Rank)	0
Burst Arowana	Tundra (G Rank)	0
Small Goldenfish	Tundra (G Rank)	0
Speartuna	Tundra (G Rank)	0
Whetfish	Tundra (G Rank)	0
Honey	Tundra (G Rank)	1
Snakebee Larva	Tundra (G Rank)	1
Insect Husk	Tundra (G Rank)	1
Might Seed	Tundra (G Rank)	1
Bomberry	Tundra (G Rank)	1
Paintberry	Tundra (G Rank)	1
Nulberry	Tundra (G Rank)	1
Ice Crystal	Tundra (G Rank)	1
Adamant Seed	Tundra (G Rank)	1
King Scarab	Tundra (G Rank)	1
Hercudrome	Tundra (G Rank)	1
Thunderbug	Tundra (G Rank)	1
Carpenterbug	Tundra (G Rank)	1
Killer Beetle	Tundra (G Rank)	1
Divine Rhino	Tundra (G Rank)	1
Godbug	Tundra (G Rank)	1
Emperor Hopper	Tundra (G Rank)	1
Rare Scarab	Tundra (G Rank)	1
Flutterfly	Tundra (G Rank)	1
Dragonbone Relic	Tundra (G Rank)	1
Auristone Chunk	Tundra (G Rank)	1
Unknown Skull	Tundra (G Rank)	1
Bone Husk L	Tundra (G Rank)	1
Mystery Bone	Tundra (G Rank)	1
Purecrystal	Tundra (G Rank)	1
Enduring Charm	Tundra (G Rank)	1
Adamant Orb	Tundra (G Rank)	1
Lazurite Jewel	Tundra (G Rank)	1
Eltalite Ore	Tundra (G Rank)	1
Bloodrun Jewel	Tundra (G Rank)	1
Gracium	Tundra (G Rank)	1
Ancient Shard	Tundra (G Rank)	1
King Scarab	Tundra (G Rank)	3
Hercudrome	Tundra (G Rank)	3
Thunderbug	Tundra (G Rank)	3
Carpenterbug	Tundra (G Rank)	3
Killer Beetle	Tundra (G Rank)	3
Divine Rhino	Tundra (G Rank)	3
Insect Husk	Tundra (G Rank)	3
Godbug	Tundra (G Rank)	3
Emperor Hopper	Tundra (G Rank)	3
Rare Scarab	Tundra (G Rank)	3
Flutterfly	Tundra (G Rank)	3
Bone	Tundra (G Rank)	4
Monster Bone S	Tundra (G Rank)	4
Bone Husk S	Tundra (G Rank)	4
Dragonbone Relic	Tundra (G Rank)	4
Unknown Skull	Tundra (G Rank)	4
Earth Crystal	Tundra (G Rank)	4
Ice Crystal	Tundra (G Rank)	4
Bloodstone	Tundra (G Rank)	4
Adv Armor Sphere	Tundra (G Rank)	4
Hvy Armor Sphere	Tundra (G Rank)	4
Fucium Ore	Tundra (G Rank)	4
Purecrystal	Tundra (G Rank)	4
Meldspar Ore	Tundra (G Rank)	4
Carbalite Ore	Tundra (G Rank)	4
Deep Bloodstone	Tundra (G Rank)	4
Shining Charm	Tundra (G Rank)	4
Bloodrun Jewel	Tundra (G Rank)	4
Isisium	Tundra (G Rank)	4
Auristone Piece	Tundra (G Rank)	4
Auristone Chunk	Tundra (G Rank)	4
Gracium	Tundra (G Rank)	4
Lazurite Jewel	Tundra (G Rank)	4
Enduring Charm	Tundra (G Rank)	4
Whetstone	Tundra (G Rank)	4
Lightcrystal	Tundra (G Rank)	4
Bone Husk S	Tundra (G Rank)	5
Mystery Bone	Tundra (G Rank)	5
Bone Husk L	Tundra (G Rank)	5
Golden Bone	Tundra (G Rank)	5
Monster Bone S	Tundra (G Rank)	5
Unknown Skull	Tundra (G Rank)	5
Gracium	Tundra (G Rank)	5
Hrd Armor Sphere	Tundra (G Rank)	5
Hvy Armor Sphere	Tundra (G Rank)	5
Enduring Charm	Tundra (G Rank)	5
Lightcrystal	Tundra (G Rank)	5
Earth Crystal	Tundra (G Rank)	5
Sunspire Jewel	Tundra (G Rank)	5
Bloodstone	Tundra (G Rank)	5
Carbalite Ore	Tundra (G Rank)	5
Deep Bloodstone	Tundra (G Rank)	5
Shining Charm	Tundra (G Rank)	5
Bloodrun Jewel	Tundra (G Rank)	5
Isisium	Tundra (G Rank)	5
Auristone Piece	Tundra (G Rank)	5
Auristone Chunk	Tundra (G Rank)	5
Lazurite Jewel	Tundra (G Rank)	5
Whetstone	Tundra (G Rank)	5
Iron Ore	Tundra (G Rank)	5
Armor Sphere	Tundra (G Rank)	5
Armor Sphere+	Tundra (G Rank)	5
Mystery Charm	Tundra (G Rank)	5
Stone	Tundra (G Rank)	5
Rustshard	Tundra (G Rank)	5
Bomberry	Tundra (G Rank)	6
Nulberry	Tundra (G Rank)	6
Huskberry	Tundra (G Rank)	6
Lazurite Jewel	Tundra (G Rank)	6
Eltalite Ore	Tundra (G Rank)	6
Purecrystal	Tundra (G Rank)	6
Bloodrun Jewel	Tundra (G Rank)	6
Gracium	Tundra (G Rank)	6
Ancient Shard	Tundra (G Rank)	6
Enduring Charm	Tundra (G Rank)	6
Paintberry	Tundra (G Rank)	7
Adamant Seed	Tundra (G Rank)	7
Sleep Herb	Tundra (G Rank)	7
Nulberry	Tundra (G Rank)	7
Bone Husk S	Tundra (G Rank)	7
Bone	Tundra (G Rank)	7
Mystery Bone	Tundra (G Rank)	7
Unknown Skull	Tundra (G Rank)	7
Earth Crystal	Tundra (G Rank)	7
Carbalite Ore	Tundra (G Rank)	7
Deep Bloodstone	Tundra (G Rank)	7
Shining Charm	Tundra (G Rank)	7
Bloodrun Jewel	Tundra (G Rank)	7
Isisium	Tundra (G Rank)	7
Auristone Chunk	Tundra (G Rank)	7
Auristone Piece	Tundra (G Rank)	7
Gracium	Tundra (G Rank)	7
Lazurite Jewel	Tundra (G Rank)	7
Enduring Charm	Tundra (G Rank)	7
Whetstone	Tundra (G Rank)	7
Lightcrystal	Tundra (G Rank)	7
Iron Ore	Tundra (G Rank)	7
Armor Sphere	Tundra (G Rank)	7
Armor Sphere+	Tundra (G Rank)	7
Mystery Charm	Tundra (G Rank)	7
King Scarab	Tundra (G Rank)	8
Hercudrome	Tundra (G Rank)	8
Thunderbug	Tundra (G Rank)	8
Carpenterbug	Tundra (G Rank)	8
Killer Beetle	Tundra (G Rank)	8
Divine Rhino	Tundra (G Rank)	8
Insect Husk	Tundra (G Rank)	8
Godbug	Tundra (G Rank)	8
Emperor Hopper	Tundra (G Rank)	8
Rare Scarab	Tundra (G Rank)	8
Flutterfly	Tundra (G Rank)	8
Dragonbone Relic	Tundra (G Rank)	9
Auristone Chunk	Tundra (G Rank)	9
Unknown Skull	Tundra (G Rank)	9
Bone Husk L	Tundra (G Rank)	9
Mystery Bone	Tundra (G Rank)	9
Earth Crystal	Tundra (G Rank)	9
Carbalite Ore	Tundra (G Rank)	9
Deep Bloodstone	Tundra (G Rank)	9
Shining Charm	Tundra (G Rank)	9
Bloodrun Jewel	Tundra (G Rank)	9
Isisium	Tundra (G Rank)	9
Auristone Piece	Tundra (G Rank)	9
Gracium	Tundra (G Rank)	9
Lazurite Jewel	Tundra (G Rank)	9
Enduring Charm	Tundra (G Rank)	9
Whetstone	Tundra (G Rank)	9
Lightcrystal	Tundra (G Rank)	9
Rare Scarab	Tundra (G Rank)	9
Hercudrome	Tundra (G Rank)	9
Killer Beetle	Tundra (G Rank)	9
Thunderbug	Tundra (G Rank)	9
King Scarab	Tundra (G Rank)	9
Emperor Hopper	Tundra (G Rank)	9
Godbug	Tundra (G Rank)	9
Flutterfly	Tundra (G Rank)	9
Might Seed	Volcano (Low Rank)	1
Bomberry	Volcano (Low Rank)	1
Needleberry	Volcano (Low Rank)	1
Hot Pepper	Volcano (Low Rank)	1
Ivy	Volcano (Low Rank)	1
Dragon Toadstool	Volcano (Low Rank)	1
Paintberry	Volcano (Low Rank)	1
Dragonfell Berry	Volcano (Low Rank)	1
Scatternut	Volcano (Low Rank)	1
Adamant Seed	Volcano (Low Rank)	1
Flashbug	Volcano (Low Rank)	1
Thunderbug	Volcano (Low Rank)	1
Carpenterbug	Volcano (Low Rank)	1
Killer Beetle	Volcano (Low Rank)	1
Bitterbug	Volcano (Low Rank)	1
Insect Husk	Volcano (Low Rank)	1
Hercudrome	Volcano (Low Rank)	1
Worm	Volcano (Low Rank)	1
Bughopper	Volcano (Low Rank)	1
Silver Cricket	Volcano (Low Rank)	1
Stinkhopper	Volcano (Low Rank)	1
Godbug	Volcano (Low Rank)	1
Worm	Volcano (Low Rank)	2
Insect Husk	Volcano (Low Rank)	2
Killer Beetle	Volcano (Low Rank)	2
Flashbug	Volcano (Low Rank)	2
Bughopper	Volcano (Low Rank)	2
Silver Cricket	Volcano (Low Rank)	2
Bitterbug	Volcano (Low Rank)	2
Stinkhopper	Volcano (Low Rank)	2
Godbug	Volcano (Low Rank)	2
Thunderbug	Volcano (Low Rank)	2
Earth Crystal	Volcano (Low Rank)	3
Armor Sphere	Volcano (Low Rank)	3
Whetstone	Volcano (Low Rank)	3
Dragonite Ore	Volcano (Low Rank)	3
Stone	Volcano (Low Rank)	3
Firestone	Volcano (Low Rank)	3
Sunspire Jewel	Volcano (Low Rank)	3
Mystery Charm	Volcano (Low Rank)	3
Hot Pepper	Volcano (Low Rank)	4
Ivy	Volcano (Low Rank)	4
Dragon Toadstool	Volcano (Low Rank)	4
Wanchovy	Volcano (Low Rank)	4
Sushifish	Volcano (Low Rank)	4
Scatterfish	Volcano (Low Rank)	4
Bomb Arowana	Volcano (Low Rank)	4
Pin Tuna	Volcano (Low Rank)	4
Glutton Tuna	Volcano (Low Rank)	4
Earth Crystal	Volcano (Low Rank)	5
Whetstone	Volcano (Low Rank)	5
Iron Ore	Volcano (Low Rank)	5
Machalite Ore	Volcano (Low Rank)	5
Aquaglow Jewel	Volcano (Low Rank)	5
Firestone	Volcano (Low Rank)	5
Dragonite Ore	Volcano (Low Rank)	5
Armor Sphere	Volcano (Low Rank)	5
Armor Sphere+	Volcano (Low Rank)	5
Sunspire Jewel	Volcano (Low Rank)	5
Rustshard	Volcano (Low Rank)	5
Mystery Charm	Volcano (Low Rank)	5
Nulberry	Volcano (Low Rank)	6
Paintberry	Volcano (Low Rank)	6
Bomberry	Volcano (Low Rank)	6
Scatternut	Volcano (Low Rank)	6
Dragonfell Berry	Volcano (Low Rank)	6
Adamant Seed	Volcano (Low Rank)	6
Might Seed	Volcano (Low Rank)	6
Fire Herb	Volcano (Low Rank)	7
Herb	Volcano (Low Rank)	7
Antidote Herb	Volcano (Low Rank)	7
Sap Plant	Volcano (Low Rank)	7
Adamant Seed	Volcano (Low Rank)	8
Might Seed	Volcano (Low Rank)	8
Dragonfell Berry	Volcano (Low Rank)	8
Scatternut	Volcano (Low Rank)	8
Iron Ore	Volcano (Low Rank)	8
Sunspire Jewel	Volcano (Low Rank)	8
Dragonite Ore	Volcano (Low Rank)	8
Armor Sphere+	Volcano (Low Rank)	8
Machalite Ore	Volcano (Low Rank)	8
Firestone	Volcano (Low Rank)	8
Iron Ore	Volcano (Low Rank)	9
Whetstone	Volcano (Low Rank)	9
Machalite Ore	Volcano (Low Rank)	9
Dragonite Ore	Volcano (Low Rank)	9
Coal	Volcano (Low Rank)	9
Rustshard	Volcano (Low Rank)	9
Earth Crystal	Volcano (Low Rank)	9
Mystery Charm	Volcano (Low Rank)	9
Armor Sphere	Volcano (Low Rank)	9
Firestone	Volcano (Low Rank)	9
Armor Sphere+	Volcano (Low Rank)	9
Powderstone	Volcano (Low Rank)	10
Iron Ore	Volcano (Low Rank)	10
Whetstone	Volcano (Low Rank)	10
Machalite Ore	Volcano (Low Rank)	10
Dragonite Ore	Volcano (Low Rank)	10
Coal	Volcano (Low Rank)	10
Rustshard	Volcano (Low Rank)	10
Aquaglow Jewel	Volcano (Low Rank)	10
Armor Sphere+	Volcano (Low Rank)	10
Sunspire Jewel	Volcano (Low Rank)	10
Firestone	Volcano (Low Rank)	10
Might Seed	Volcano (High Rank)	1
Bomberry	Volcano (High Rank)	1
Needleberry	Volcano (High Rank)	1
Hot Pepper	Volcano (High Rank)	1
Ivy	Volcano (High Rank)	1
Dragon Toadstool	Volcano (High Rank)	1
Paintberry	Volcano (High Rank)	1
Dragonfell Berry	Volcano (High Rank)	1
Scatternut	Volcano (High Rank)	1
Adamant Seed	Volcano (High Rank)	1
Hercudrome	Volcano (High Rank)	1
Bitterbug	Volcano (High Rank)	1
Flashbug	Volcano (High Rank)	1
Thunderbug	Volcano (High Rank)	1
Killer Beetle	Volcano (High Rank)	1
Rare Scarab	Volcano (High Rank)	1
King Scarab	Volcano (High Rank)	1
Worm	Volcano (High Rank)	1
Silver Cricket	Volcano (High Rank)	1
Insect Husk	Volcano (High Rank)	1
Mega Fishing Fly	Volcano (High Rank)	1
Godbug	Volcano (High Rank)	1
Gold Cricket	Volcano (High Rank)	1
Worm	Volcano (High Rank)	2
Killer Beetle	Volcano (High Rank)	2
Hercudrome	Volcano (High Rank)	2
Flashbug	Volcano (High Rank)	2
Silver Cricket	Volcano (High Rank)	2
Rare Scarab	Volcano (High Rank)	2
Insect Husk	Volcano (High Rank)	2
Mega Fishing Fly	Volcano (High Rank)	2
King Scarab	Volcano (High Rank)	2
Thunderbug	Volcano (High Rank)	2
Godbug	Volcano (High Rank)	2
Gold Cricket	Volcano (High Rank)	2
Earth Crystal	Volcano (High Rank)	3
Machalite Ore	Volcano (High Rank)	3
Firestone	Volcano (High Rank)	3
Hrd Armor Sphere	Volcano (High Rank)	3
Iron Ore	Volcano (High Rank)	3
Armor Sphere+	Volcano (High Rank)	3
Adv Armor Sphere	Volcano (High Rank)	3
Carbalite Ore	Volcano (High Rank)	3
Dragonite Ore	Volcano (High Rank)	3
Volatile Coal	Volcano (High Rank)	3
Sunspire Jewel	Volcano (High Rank)	3
Firecell Stone	Volcano (High Rank)	3
Lightcrystal	Volcano (High Rank)	3
Hot Pepper	Volcano (High Rank)	4
Ivy	Volcano (High Rank)	4
Dragon Toadstool	Volcano (High Rank)	4
Wanchovy	Volcano (High Rank)	4
Sushifish	Volcano (High Rank)	4
Scatterfish	Volcano (High Rank)	4
Bomb Arowana	Volcano (High Rank)	4
Pin Tuna	Volcano (High Rank)	4
Glutton Tuna	Volcano (High Rank)	4
Bloodrun Jewel	Volcano (High Rank)	5
Earth Crystal	Volcano (High Rank)	5
Dragonite Ore	Volcano (High Rank)	5
Volatile Coal	Volcano (High Rank)	5
Coal	Volcano (High Rank)	5
Shining Charm	Volcano (High Rank)	5
Firestone	Volcano (High Rank)	5
Mystery Charm	Volcano (High Rank)	5
Machalite Ore	Volcano (High Rank)	5
Hrd Armor Sphere	Volcano (High Rank)	5
Iron Ore	Volcano (High Rank)	5
Armor Sphere+	Volcano (High Rank)	5
Adv Armor Sphere	Volcano (High Rank)	5
Carbalite Ore	Volcano (High Rank)	5
Sunspire Jewel	Volcano (High Rank)	5
Firecell Stone	Volcano (High Rank)	5
Lightcrystal	Volcano (High Rank)	5
Aquaglow Jewel	Volcano (High Rank)	5
Timeworn Charm	Volcano (High Rank)	5
Rustshard	Volcano (High Rank)	5
Nulberry	Volcano (High Rank)	6
Paintberry	Volcano (High Rank)	6
Bomberry	Volcano (High Rank)	6
Scatternut	Volcano (High Rank)	6
Dragonfell Berry	Volcano (High Rank)	6
Adamant Seed	Volcano (High Rank)	6
Might Seed	Volcano (High Rank)	6
Fire Herb	Volcano (High Rank)	7
Herb	Volcano (High Rank)	7
Antidote Herb	Volcano (High Rank)	7
Sap Plant	Volcano (High Rank)	7
Adamant Seed	Volcano (High Rank)	8
Might Seed	Volcano (High Rank)	8
Dragonfell Berry	Volcano (High Rank)	8
Scatternut	Volcano (High Rank)	8
Carbalite Ore	Volcano (High Rank)	8
Hrd Armor Sphere	Volcano (High Rank)	8
Dragonite Ore	Volcano (High Rank)	8
Firestone	Volcano (High Rank)	8
Rustshard	Volcano (High Rank)	8
Fucium Ore	Volcano (High Rank)	8
Firecell Stone	Volcano (High Rank)	8
Timeworn Charm	Volcano (High Rank)	8
Iron Ore	Volcano (High Rank)	9
Whetstone	Volcano (High Rank)	9
Machalite Ore	Volcano (High Rank)	9
Dragonite Ore	Volcano (High Rank)	9
Coal	Volcano (High Rank)	9
Rustshard	Volcano (High Rank)	9
Carbalite Ore	Volcano (High Rank)	9
Hrd Armor Sphere	Volcano (High Rank)	9
Firestone	Volcano (High Rank)	9
Fucium Ore	Volcano (High Rank)	9
Firecell Stone	Volcano (High Rank)	9
Timeworn Charm	Volcano (High Rank)	9
Shining Charm	Volcano (High Rank)	9
Volatile Coal	Volcano (High Rank)	9
Hercudrome	Volcano (High Rank)	9
Godbug	Volcano (High Rank)	9
Rare Scarab	Volcano (High Rank)	9
King Scarab	Volcano (High Rank)	9
Thunderbug	Volcano (High Rank)	9
Killer Beetle	Volcano (High Rank)	9
Powderstone	Volcano (High Rank)	10
Bloodrun Jewel	Volcano (High Rank)	10
Earth Crystal	Volcano (High Rank)	10
Dragonite Ore	Volcano (High Rank)	10
Volatile Coal	Volcano (High Rank)	10
Coal	Volcano (High Rank)	10
Shining Charm	Volcano (High Rank)	10
Firestone	Volcano (High Rank)	10
Mystery Charm	Volcano (High Rank)	10
Carbalite Ore	Volcano (High Rank)	10
Hrd Armor Sphere	Volcano (High Rank)	10
Rustshard	Volcano (High Rank)	10
Fucium Ore	Volcano (High Rank)	10
Firecell Stone	Volcano (High Rank)	10
Timeworn Charm	Volcano (High Rank)	10
Herb	Volcano (G Rank)	1
Huskberry	Volcano (G Rank)	1
Needleberry	Volcano (G Rank)	1
Whetstone	Volcano (G Rank)	1
Stone	Volcano (G Rank)	1
Antidote Herb	Volcano (G Rank)	1
Sleep Herb	Volcano (G Rank)	1
Sap Plant	Volcano (G Rank)	1
Felvine	Volcano (G Rank)	1
Blue Mushroom	Volcano (G Rank)	1
Nitroshroom	Volcano (G Rank)	1
Choice Mushroom	Volcano (G Rank)	1
Great Shroom	Volcano (G Rank)	1
Toadstool	Volcano (G Rank)	1
King Scarab	Volcano (G Rank)	1
Emperor Hopper	Volcano (G Rank)	1
Godbug	Volcano (G Rank)	1
Carpenterbug	Volcano (G Rank)	1
Rare Scarab	Volcano (G Rank)	1
Royal Rhino	Volcano (G Rank)	1
Divine Rhino	Volcano (G Rank)	1
King Scarab	Volcano (G Rank)	2
Rare Scarab	Volcano (G Rank)	2
Hercudrome	Volcano (G Rank)	2
Carpenterbug	Volcano (G Rank)	2
Silver Cricket	Volcano (G Rank)	2
Gold Cricket	Volcano (G Rank)	2
Killer Beetle	Volcano (G Rank)	2
Thunderbug	Volcano (G Rank)	2
Godbug	Volcano (G Rank)	2
Earth Crystal	Volcano (G Rank)	3
Eltalite Ore	Volcano (G Rank)	3
Firecell Stone	Volcano (G Rank)	3
Hrd Armor Sphere	Volcano (G Rank)	3
Carbalite Ore	Volcano (G Rank)	3
Adv Armor Sphere	Volcano (G Rank)	3
Firestone	Volcano (G Rank)	3
Bloodrun Jewel	Volcano (G Rank)	3
Hvy Armor Sphere	Volcano (G Rank)	3
Allfire Stone	Volcano (G Rank)	3
Purecrystal	Volcano (G Rank)	3
Hot Pepper	Volcano (G Rank)	4
Ivy	Volcano (G Rank)	4
Dragon Toadstool	Volcano (G Rank)	4
Wanchovy	Volcano (G Rank)	4
Scatterfish	Volcano (G Rank)	4
Glutton Tuna	Volcano (G Rank)	4
Bomb Arowana	Volcano (G Rank)	4
Sushifish	Volcano (G Rank)	4
Pin Tuna	Volcano (G Rank)	4
Firestone	Volcano (G Rank)	5
Firecell Stone	Volcano (G Rank)	5
Eltalite Ore	Volcano (G Rank)	5
Fucium Ore	Volcano (G Rank)	5
Carbalite Ore	Volcano (G Rank)	5
Bloodrun Jewel	Volcano (G Rank)	5
Shining Charm	Volcano (G Rank)	5
Timeworn Charm	Volcano (G Rank)	5
Hvy Armor Sphere	Volcano (G Rank)	5
Earth Crystal	Volcano (G Rank)	5
Hrd Armor Sphere	Volcano (G Rank)	5
Meldspar Ore	Volcano (G Rank)	5
Tru Armor Sphere	Volcano (G Rank)	5
Adamant Orb	Volcano (G Rank)	5
Enduring Charm	Volcano (G Rank)	5
Ancient Shard	Volcano (G Rank)	5
Nulberry	Volcano (G Rank)	6
Paintberry	Volcano (G Rank)	6
Bomberry	Volcano (G Rank)	6
Scatternut	Volcano (G Rank)	6
Dragonfell Berry	Volcano (G Rank)	6
Adamant Seed	Volcano (G Rank)	6
Might Seed	Volcano (G Rank)	6
Fire Herb	Volcano (G Rank)	7
Herb	Volcano (G Rank)	7
Antidote Herb	Volcano (G Rank)	7
Sap Plant	Volcano (G Rank)	7
Adamant Seed	Volcano (G Rank)	8
Might Seed	Volcano (G Rank)	8
Dragonfell Berry	Volcano (G Rank)	8
Scatternut	Volcano (G Rank)	8
Firecell Stone	Volcano (G Rank)	8
Meldspar Ore	Volcano (G Rank)	8
Eltalite Ore	Volcano (G Rank)	8
Whetstone	Volcano (G Rank)	8
Carbalite Ore	Volcano (G Rank)	8
Allfire Stone	Volcano (G Rank)	8
Ancient Shard	Volcano (G Rank)	8
Enduring Charm	Volcano (G Rank)	8
Tru Armor Sphere	Volcano (G Rank)	8
Iron Ore	Volcano (G Rank)	9
Whetstone	Volcano (G Rank)	9
Machalite Ore	Volcano (G Rank)	9
Dragonite Ore	Volcano (G Rank)	9
Coal	Volcano (G Rank)	9
Rustshard	Volcano (G Rank)	9
Firecell Stone	Volcano (G Rank)	9
Meldspar Ore	Volcano (G Rank)	9
Eltalite Ore	Volcano (G Rank)	9
Carbalite Ore	Volcano (G Rank)	9
Allfire Stone	Volcano (G Rank)	9
Ancient Shard	Volcano (G Rank)	9
Enduring Charm	Volcano (G Rank)	9
Tru Armor Sphere	Volcano (G Rank)	9
Volatile Coal	Volcano (G Rank)	9
Shining Charm	Volcano (G Rank)	9
Adamant Orb	Volcano (G Rank)	9
Timeworn Charm	Volcano (G Rank)	9
Hercudrome	Volcano (G Rank)	9
Rare Scarab	Volcano (G Rank)	9
Emperor Hopper	Volcano (G Rank)	9
Flutterfly	Volcano (G Rank)	9
King Scarab	Volcano (G Rank)	9
Godbug	Volcano (G Rank)	9
Powderstone	Volcano (G Rank)	10
Firestone	Volcano (G Rank)	10
Firecell Stone	Volcano (G Rank)	10
Eltalite Ore	Volcano (G Rank)	10
Fucium Ore	Volcano (G Rank)	10
Carbalite Ore	Volcano (G Rank)	10
Bloodrun Jewel	Volcano (G Rank)	10
Shining Charm	Volcano (G Rank)	10
Timeworn Charm	Volcano (G Rank)	10
Hvy Armor Sphere	Volcano (G Rank)	10
Meldspar Ore	Volcano (G Rank)	10
Whetstone	Volcano (G Rank)	10
Allfire Stone	Volcano (G Rank)	10
Ancient Shard	Volcano (G Rank)	10
Enduring Charm	Volcano (G Rank)	10
Tru Armor Sphere	Volcano (G Rank)	10
Herb	Misty Peaks (High Rank)	1
Huskberry	Misty Peaks (High Rank)	1
Needleberry	Misty Peaks (High Rank)	1
Whetstone	Misty Peaks (High Rank)	1
Stone	Misty Peaks (High Rank)	1
Antidote Herb	Misty Peaks (High Rank)	1
Sleep Herb	Misty Peaks (High Rank)	1
Sap Plant	Misty Peaks (High Rank)	1
Felvine	Misty Peaks (High Rank)	1
Blue Mushroom	Misty Peaks (High Rank)	1
Nitroshroom	Misty Peaks (High Rank)	1
Toadstool	Misty Peaks (High Rank)	1
Unique Mushroom	Misty Peaks (High Rank)	1
Choice Mushroom	Misty Peaks (High Rank)	1
Great Shroom	Misty Peaks (High Rank)	1
Bitterbug	Misty Peaks (High Rank)	1
Flashbug	Misty Peaks (High Rank)	1
King Scarab	Misty Peaks (High Rank)	1
Godbug	Misty Peaks (High Rank)	1
Royal Rhino	Misty Peaks (High Rank)	1
Divine Rhino	Misty Peaks (High Rank)	1
Blue Mushroom	Misty Peaks (High Rank)	2
Unique Mushroom	Misty Peaks (High Rank)	2
Choice Mushroom	Misty Peaks (High Rank)	2
Great Shroom	Misty Peaks (High Rank)	2
Bone	Misty Peaks (High Rank)	2
Mystery Bone	Misty Peaks (High Rank)	2
Dung	Misty Peaks (High Rank)	2
Nulberry	Misty Peaks (High Rank)	2
Stone	Misty Peaks (High Rank)	2
Whetstone	Misty Peaks (High Rank)	2
Earth Crystal	Misty Peaks (High Rank)	2
Iron Ore	Misty Peaks (High Rank)	2
Machalite Ore	Misty Peaks (High Rank)	2
Balmstone Piece	Misty Peaks (High Rank)	2
Carbalite Ore	Misty Peaks (High Rank)	2
Super Sprout	Misty Peaks (High Rank)	3
Ivy	Misty Peaks (High Rank)	3
Spider Web	Misty Peaks (High Rank)	3
Mega Fishing Fly	Misty Peaks (High Rank)	3
Insect Husk	Misty Peaks (High Rank)	3
Iron Ore	Misty Peaks (High Rank)	3
Whetstone	Misty Peaks (High Rank)	3
Earth Crystal	Misty Peaks (High Rank)	3
Balmstone Piece	Misty Peaks (High Rank)	3
Machalite Ore	Misty Peaks (High Rank)	3
Lightcrystal	Misty Peaks (High Rank)	3
Balmstone Chunk	Misty Peaks (High Rank)	3
Shining Charm	Misty Peaks (High Rank)	3
Armor Sphere+	Misty Peaks (High Rank)	3
Carbalite Ore	Misty Peaks (High Rank)	3
Dragonite Ore	Misty Peaks (High Rank)	3
Paintball	Misty Peaks (High Rank)	4
Ration	Misty Peaks (High Rank)	4
Throwing Knife	Misty Peaks (High Rank)	4
